chemical formula,crystal system,Structure Type,structure rank,ICSD ref #,space group,avg bond length (Å),polyhedral volume (Å^3),distortion index,quadratic elongation,bond angle variance (deg^2),ECoN,cation,Cation rank,ionic radius,charge,,,
K3Ti5TaO14-Ti/Ta1,monoclinic,K3Ti5NbO14,7,16375,C 2/m,2.0263,10.5251,0.05174,1.0407,110.364,5.319,Ti,40,0.605,4,,,
K3Ti5TaO14-Ti/Ta1,monoclinic,K3Ti5NbO14,7,16375,C 2/m,2.0263,10.5251,0.05174,1.0407,110.364,5.319,Ta,52,0.64,5,,,
K3Ti5TaO14-Ti/Ta2,monoclinic,K3Ti5NbO14,7,16375,C 2/m,2.0128,10.248,0.06486,1.0465,139.3745,4.1051,Ti,40,0.605,4,,,
K3Ti5TaO14-Ti/Ta2,monoclinic,K3Ti5NbO14,7,16375,C 2/m,2.0128,10.248,0.06486,1.0465,139.3745,4.1051,Ta,52,0.64,5,,,
K3Ti5TaO14-Ti/Ta3,monoclinic,K3Ti5NbO14,7,16375,C 2/m,2.0546,11.0197,0.10891,1.0484,106.6661,3.797,Ti,40,0.605,4,,,
K3Ti5TaO14-Ti/Ta3,monoclinic,K3Ti5NbO14,7,16375,C 2/m,2.0546,11.0197,0.10891,1.0484,106.6661,3.797,Ta,52,0.64,5,,,
K2Ti8O17-Ti1,monoclinic,,7,69878,C 2/m,1.9669,9.7997,0.03268,1.0256,81.7234,5.4234,Ti,40,0.605,4,,,
K2Ti8O17-Ti2,monoclinic,,7,69878,C 2/m,1.9771,9.8537,0.07248,1.0375,100.4776,4.2682,Ti,40,0.605,4,,,
K2Ti8O17-Ti3,monoclinic,,7,69878,C 2/m,1.9913,9.9771,0.0838,1.0465,123.5359,3.6409,Ti,40,0.605,4,,,
K2Ti8O17-Ti4,monoclinic,,7,69878,C 2/m,1.9866,9.79,0.05965,1.0516,156.6965,3.9562,Ti,40,0.605,4,,,
MoO3-Mo,orthorhombic,,7,35076,P b n m,1.9807,9.6831,0.10456,1.0619,155.9874,3.1808,Mo,61,0.59,6,,,
WNb12O33-Nb1,monoclinic,,6,23799,C 2,2.003,9.7011,0.0597,1.0726,221.2486,4.9361,Nb,51,0.64,5,,,
WNb12O33-Nb2,monoclinic,,6,23799,C 2,2.0154,9.79,0.03606,1.0768,245.9618,5.6526,Nb,51,0.64,5,,,
WNb12O33-Nb3,monoclinic,,6,23799,C 2,2.0235,9.8274,0.06051,1.0852,262.1609,5.0055,Nb,51,0.64,5,,,
WNb12O33-Nb4,monoclinic,,6,23799,C 2,1.9352,9.6479,0.01064,1.0012,3.3967,5.972,Nb,51,0.64,5,,,
WNb12O33-Nb5,monoclinic,,6,23799,C 2,1.9806,9.3934,0.04068,1.0695,219.4436,5.5199,Nb,51,0.64,5,,,
WNb12O33-Nb6,monoclinic,,6,23799,C 2,1.9682,9.2431,0.04905,1.0686,211.6962,5.0726,Nb,51,0.64,5,,,
TiTa2O7-Ta/Ti1,monoclinic,Nb2TiO7,6,251797,I 2/m,1.9582,10.0019,0.02151,1.0013,0.001,5.8513,Ta,52,0.64,5,,,
TiTa2O7-Ta/Ti1,monoclinic,Nb2TiO7,6,251797,I 2/m,1.9582,10.0019,0.02151,1.0013,0.001,5.8513,Ti,40,0.605,4,,,
TiTa2O7-Ta/Ti2,monoclinic,Nb2TiO7,6,251797,I 2/m,1.9757,9.9266,0.03447,1.0269,83.1574,5.1826,Ta,52,0.64,5,,,
TiTa2O7-Ta/Ti2,monoclinic,Nb2TiO7,6,251797,I 2/m,1.9757,9.9266,0.03447,1.0269,83.1574,5.1826,Ti,40,0.605,4,,,
TiTa2O7-Ta/Ti3,monoclinic,Nb2TiO7,6,251797,I 2/m,2.0025,10.1261,0.06878,1.044,127.4171,4.5473,Ta,52,0.64,5,,,
TiTa2O7-Ta/Ti3,monoclinic,Nb2TiO7,6,251797,I 2/m,2.0025,10.1261,0.06878,1.044,127.4171,4.5473,Ti,40,0.605,4,,,
TiTa2O7-Ta/Ti4,monoclinic,Nb2TiO7,6,251797,I 2/m,2.0059,10.2346,0.06332,1.0405,116.9289,4.6255,Ta,52,0.64,5,,,
TiTa2O7-Ta/Ti4,monoclinic,Nb2TiO7,6,251797,I 2/m,2.0059,10.2346,0.06332,1.0405,116.9289,4.6255,Ti,40,0.605,4,,,
TiTa2O7-Ti/Ta,monoclinic,Nb2TiO7,6,251797,I 2/m,1.991,9.9397,0.06615,1.0457,133.9113,4.1184,Ti,40,0.605,5,,,
TiTa2O7-Ti/Ta,monoclinic,Nb2TiO7,6,251797,I 2/m,1.991,9.9397,0.06615,1.0457,133.9113,4.1184,Ta,52,0.64,4,,,
TiNb2O7-Nb/Ti1,monoclinic,Nb2TiO7,6,15430,A 2/m,1.9631,10.0594,0.03795,1.0035,0.938,5.6536,Nb,51,0.64,5,,,
TiNb2O7-Nb/Ti1,monoclinic,Nb2TiO7,6,15430,A 2/m,1.9631,10.0594,0.03795,1.0035,0.938,5.6536,Ti,40,0.605,4,,,
TiNb2O7-Nb/Ti2,monoclinic,Nb2TiO7,6,15430,A 2/m,2.0255,10.4684,0.03179,1.0406,129.1601,5.3511,Nb,51,0.64,5,,,
TiNb2O7-Nb/Ti2,monoclinic,Nb2TiO7,6,15430,A 2/m,2.0255,10.4684,0.03179,1.0406,129.1601,5.3511,Ti,40,0.605,4,,,
TiNb2O7-Nb/Ti3,monoclinic,Nb2TiO7,6,15430,A 2/m,2.0237,10.217,0.07039,1.063,185.1111,3.2001,Nb,51,0.64,5,,,
TiNb2O7-Nb/Ti3,monoclinic,Nb2TiO7,6,15430,A 2/m,2.0237,10.217,0.07039,1.063,185.1111,3.2001,Ti,40,0.605,4,,,
TiNb2O7-Nb/Ti4,monoclinic,Nb2TiO7,6,15430,A 2/m,1.9861,9.4159,0.08023,1.0806,237.7908,2.3959,Nb,51,0.64,5,,,
TiNb2O7-Nb/Ti4,monoclinic,Nb2TiO7,6,15430,A 2/m,1.9861,9.4159,0.08023,1.0806,237.7908,2.3959,Ti,40,0.605,4,,,
TiNb2O7-Nb/Ti5,monoclinic,Nb2TiO7,6,15430,A 2/m,1.9656,9.2645,0.07416,1.071,198.814,3.8575,Nb,51,0.64,5,,,
TiNb2O7-Nb/Ti5,monoclinic,Nb2TiO7,6,15430,A 2/m,1.9656,9.2645,0.07416,1.071,198.814,3.8575,Ti,40,0.605,4,,,
TiNb2O7-Nb/Ti1,monoclinic,Nb2TiO7,6,6120,A 2/m,2.0235,10.1954,0.08914,1.0669,183.8856,3.4516,Nb,51,0.64,5,,,
TiNb2O7-Nb/Ti1,monoclinic,Nb2TiO7,6,6120,A 2/m,2.0235,10.1954,0.08914,1.0669,183.8856,3.4516,Ti,40,0.605,4,,,
TiNb2O7-Nb/Ti2,monoclinic,Nb2TiO7,6,6120,A 2/m,2.007,9.8507,0.10199,1.0773,205.0242,2.5699,Nb,51,0.64,5,,,
TiNb2O7-Nb/Ti2,monoclinic,Nb2TiO7,6,6120,A 2/m,2.007,9.8507,0.10199,1.0773,205.0242,2.5699,Ti,40,0.605,4,,,
TiNb2O7-Nb/Ti3,monoclinic,Nb2TiO7,6,6120,A 2/m,2.016,10.354,0.06593,1.0437,126.101,4.3008,Nb,51,0.64,5,,,
TiNb2O7-Nb/Ti3,monoclinic,Nb2TiO7,6,6120,A 2/m,2.016,10.354,0.06593,1.0437,126.101,4.3008,Ti,40,0.605,4,,,
TiNb2O7-Nb/Ti4,monoclinic,Nb2TiO7,6,6120,A 2/m,1.9674,10.1416,0.02445,1.0017,0.051,5.8054,Nb,51,0.64,5,,,
TiNb2O7-Nb/Ti4,monoclinic,Nb2TiO7,6,6120,A 2/m,1.9674,10.1416,0.02445,1.0017,0.051,5.8054,Ti,40,0.605,4,,,
TiNb2O7-Nb/Ti5,monoclinic,Nb2TiO7,6,6120,A 2/m,1.9841,10.0103,0.0398,1.0309,93.5049,4.7437,Nb,51,0.64,5,,,
TiNb2O7-Nb/Ti5,monoclinic,Nb2TiO7,6,6120,A 2/m,1.9841,10.0103,0.0398,1.0309,93.5049,4.7437,Ti,40,0.605,4,,,
Mo4O11-Mo1,orthorhombic,bronze Mo4O11,0,15815,Pnma,1.9109,9.0163,0.09702,1.0309,72.5324,3.7704,Mo,61,0.59,5.5,,,
Mo4O11-Mo2,orthorhombic,bronze Mo4O11,0,15815,Pnma,1.9515,9.7465,0.08174,1.0179,38.9343,4.2857,Mo,61,0.59,5.5,,,
Mo4O11-Mo3,orthorhombic,bronze Mo4O11,0,15815,Pnma,1.9439,9.7642,0.02761,1.0029,6.9562,5.7813,Mo,61,0.59,5.5,,,
LiCr3O8-Li/Cr,orthorhombic,CrVO4,0,28409,Cmcm,2.0471,11.3042,0.00007,1.0079,28.3913,6,Li,10,0.76,1,,,
LiCr3O8-Li/Cr,orthorhombic,CrVO4,0,28409,Cmcm,2.0471,11.3042,0.00007,1.0079,28.3913,6,Cr,60,0.49,5,,,
ZnZrNb2O8-Zn/Zr,monoclinic,rutile,1,195589,P 2/c,2.1075,11.9468,0.03486,1.0312,102.4229,5.6363,Zn,120,0.74,2,,,
ZnZrNb2O8-Zn/Zr,monoclinic,rutile,1,195589,P 2/c,2.1075,11.9468,0.03486,1.0312,102.4229,5.6363,Zr,41,0.72,4,,,
ZnZrNb2O8-Nb,monoclinic,rutile,1,195589,P 2/c,2.0167,10.5154,0.05487,1.0303,89.6679,5.0998,Nb,51,0.64,5,,,
MoO2,tetragonal,rutile,1,99714,P 42/m nm,1.9935,10.5452,0.02521,1.0018,1.4452,5.8489,Mo,61,0.65,4,,,
LiNb3O8-Nb1,monoclinic,columbite,4,31930,P 21/a,1.9926,10.3012,0.05094,1.0188,56.8655,5.1746,Nb,51,0.64,5,,,
LiNb3O8-Nb2,monoclinic,columbite,4,31930,P 21/a,2.0093,10.3705,0.06611,1.0349,98.1246,4.5771,Nb,51,0.64,5,,,
LiNb3O8-Nb3,monoclinic,columbite,4,31930,P 21/a,2.0128,10.4068,0.06705,1.0365,100.8796,4.6124,Nb,51,0.64,5,,,
LiNb3O8-Li,monoclinic,columbite,4,31930,P 21/a,2.1888,13.421,0.03781,1.0296,94.5936,5.5446,Li,10,0.76,1,,,
ZnNb2O6-Nb,orthorhombic,columbite,4,36290,pbcn,2.0238,10.5926,0.06711,1.0345,99.1845,4.5694,Nb,51,0.64,5,,,
ZnNb2O6-Zn,orthorhombic,columbite,4,36290,pbcn,2.0982,12.0022,0.02519,1.0181,60.2716,5.8398,Zn,120,0.74,2,,,
